Username: Nisha, Subject: Chemistry, Chapter: Inorganic, Marks: 83
Username: Avni4, Subject: Math, Chapter: Trigonometry, Marks: 27
Username: Ayaan, Subject: Math, Chapter: Geometry, Marks: 9
Username: Laksh2, Subject: Chemistry, Chapter: Inorganic, Marks: 77
Username: Aditi2, Subject: Physics, Chapter: Optics, Marks: 96
Username: Ayaan2, Subject: Physics, Chapter: Thermodynamics, Marks: 7
Username: Rudra, Subject: Math, Chapter: Algebra, Marks: 5
Username: Riya2, Subject: Math, Chapter: Trigonometry, Marks: 58
Username: Meera, Subject: Physics, Chapter: Mechanics, Marks: 57
Username: Advika2, Subject: Chemistry, Chapter: Organic, Marks: 8
Username: Pari2, Subject: Physics, Chapter: Thermodynamics, Marks: 100
Username: Diya, Subject: Chemistry, Chapter: Organic, Marks: 82
Username: Vihaan, Subject: Math, Chapter: Trigonometry, Marks: 58
Username: Diya2, Subject: Chemistry, Chapter: Organic, Marks: 57
Username: Aryan, Subject: Math, Chapter: Trigonometry, Marks: 36
Username: Yuvraj, Subject: Physics, Chapter: Thermodynamics, Marks: 9
Username: Shreya, Subject: Physics, Chapter: Mechanics, Marks: 45
Username: Rudra2, Subject: Physics, Chapter: Thermodynamics, Marks: 86
Username: Kavya2, Subject: Physics, Chapter: Optics, Marks: 46
Username: Dia3, Subject: Math, Chapter: Trigonometry, Marks: 75
Username: Tara2, Subject: Physics, Chapter: Mechanics, Marks: 75
Username: Ayaan3, Subject: Chemistry, Chapter: Inorganic, Marks: 87
Username: Ananya, Subject: Math, Chapter: Trigonometry, Marks: 60
Username: Kavya3, Subject: Physics, Chapter: Thermodynamics, Marks: 60
Username: Anvi, Subject: Chemistry, Chapter: Inorganic, Marks: 12
Username: Nisha2, Subject: Math, Chapter: Geometry, Marks: 44
Username: Pari3, Subject: Math, Chapter: Algebra, Marks: 79
Username: Ira3, Subject: Chemistry, Chapter: Organic, Marks: 76
Username: Ishaan2, Subject: Chemistry, Chapter: Inorganic, Marks: 43
Username: Ananya2, Subject: Math, Chapter: Algebra, Marks: 14
Username: Avni5, Subject: Chemistry, Chapter: Inorganic, Marks: 21
Username: Om2, Subject: Chemistry, Chapter: Physical, Marks: 23
Username: Rudra3, Subject: Math, Chapter: Geometry, Marks: 12
Username: Saanvi2, Subject: Chemistry, Chapter: Physical, Marks: 63
Username: Moksh2, Subject: Physics, Chapter: Mechanics, Marks: 64
Username: Advika3, Subject: Chemistry, Chapter: Inorganic, Marks: 20
Username: Ayaan4, Subject: Chemistry, Chapter: Inorganic, Marks: 47
Username: Mira, Subject: Chemistry, Chapter: Inorganic, Marks: 34
Username: Zara4, Subject: Chemistry, Chapter: Physical, Marks: 97
Username: Pari4, Subject: Chemistry, Chapter: Organic, Marks: 21
Username: Om3, Subject: Chemistry, Chapter: Organic, Marks: 46
Username: Anila2, Subject: Math, Chapter: Geometry, Marks: 63
Username: user83, Subject: Chemistry, Chapter: Inorganic, Marks: 8
Username: Aarohi, Subject: Math, Chapter: Trigonometry, Marks: 88
Username: Aayush, Subject: Math, Chapter: Algebra, Marks: 74
Username: Aditya, Subject: Chemistry, Chapter: Physical, Marks: 13
Username: Aishwarya, Subject: Math, Chapter: Algebra, Marks: 5
Username: Akash, Subject: Math, Chapter: Geometry, Marks: 20
Username: Alok, Subject: Chemistry, Chapter: Physical, Marks: 85
Username: Anika3, Subject: Math, Chapter: Geometry, Marks: 39
Username: Anirudh, Subject: Physics, Chapter: Mechanics, Marks: 46
Username: Anjali, Subject: Chemistry, Chapter: Physical, Marks: 65
Username: Ankit, Subject: Chemistry, Chapter: Organic, Marks: 53
Username: Anushka, Subject: Math, Chapter: Geometry, Marks: 50
Username: Arun, Subject: Physics, Chapter: Thermodynamics, Marks: 93
Username: Aryan2, Subject: Math, Chapter: Geometry, Marks: 27
Username: Ashish, Subject: Chemistry, Chapter: Organic, Marks: 8
Username: Bhumika, Subject: Physics, Chapter: Optics, Marks: 33
Username: Chirag, Subject: Physics, Chapter: Mechanics, Marks: 19
Username: Deeksha, Subject: Chemistry, Chapter: Physical, Marks: 81
Username: Deepak, Subject: Chemistry, Chapter: Organic, Marks: 93
Username: Divya, Subject: Chemistry, Chapter: Physical, Marks: 18
Username: Gaurav, Subject: Chemistry, Chapter: Inorganic, Marks: 66
Username: Harish, Subject: Chemistry, Chapter: Organic, Marks: 86
Username: Ishita, Subject: Math, Chapter: Trigonometry, Marks: 9
Username: Jatin, Subject: Chemistry, Chapter: Physical, Marks: 81
Username: Kiran, Subject: Chemistry, Chapter: Physical, Marks: 50
Username: Krish, Subject: Chemistry, Chapter: Inorganic, Marks: 20
Username: Madhav, Subject: Physics, Chapter: Mechanics, Marks: 42
Username: Meera2, Subject: Chemistry, Chapter: Physical, Marks: 90
Username: Mohit, Subject: Math, Chapter: Trigonometry, Marks: 46
Username: Naman, Subject: Chemistry, Chapter: Physical, Marks: 32
Username: Nandini, Subject: Math, Chapter: Geometry, Marks: 89
Username: Nishant, Subject: Physics, Chapter: Mechanics, Marks: 9
Username: Pallavi, Subject: Physics, Chapter: Thermodynamics, Marks: 38
Username: Pooja, Subject: Math, Chapter: Algebra, Marks: 64
Username: Pranav2, Subject: Physics, Chapter: Mechanics, Marks: 75
Username: Rajesh, Subject: Physics, Chapter: Optics, Marks: 49
Username: Rakesh, Subject: Physics, Chapter: Mechanics, Marks: 2
Username: Rishabh, Subject: Chemistry, Chapter: Organic, Marks: 26
Username: Riya3, Subject: Math, Chapter: Geometry, Marks: 77
Username: Rohit, Subject: Math, Chapter: Trigonometry, Marks: 94
Username: Sakshi, Subject: Math, Chapter: Algebra, Marks: 44
Username: Sanjay, Subject: Chemistry, Chapter: Organic, Marks: 31
Username: Shikha, Subject: Chemistry, Chapter: Physical, Marks: 17
Username: Shreya2, Subject: Chemistry, Chapter: Inorganic, Marks: 66
Username: Siddharth, Subject: Physics, Chapter: Thermodynamics, Marks: 1
Username: Sneha, Subject: Chemistry, Chapter: Physical, Marks: 8
Username: Tarun, Subject: Chemistry, Chapter: Organic, Marks: 48
Username: Tanya, Subject: Physics, Chapter: Optics, Marks: 13
Username: Varun, Subject: Math, Chapter: Algebra, Marks: 54
Username: Vidya, Subject: Physics, Chapter: Thermodynamics, Marks: 28
Username: Amit, Subject: Physics, Chapter: Thermodynamics, Marks: 62
Username: Bhavya, Subject: Chemistry, Chapter: Physical, Marks: 12
Username: Charu, Subject: Chemistry, Chapter: Organic, Marks: 74
Username: Darsh, Subject: Physics, Chapter: Optics, Marks: 43
Username: Esha, Subject: Chemistry, Chapter: Physical, Marks: 51
Username: Fahad, Subject: Physics, Chapter: Optics, Marks: 87
Username: Gauri, Subject: Math, Chapter: Trigonometry, Marks: 61
Username: Hardik, Subject: Math, Chapter: Algebra, Marks: 94
Username: Ishan, Subject: Chemistry, Chapter: Organic, Marks: 31
Username: Jaya, Subject: Chemistry, Chapter: Inorganic, Marks: 5
Username: Kunal, Subject: Math, Chapter: Geometry, Marks: 40
Username: Lavanya, Subject: Physics, Chapter: Mechanics, Marks: 90
Username: Mira2, Subject: Chemistry, Chapter: Physical, Marks: 63
Username: Niharika, Subject: Physics, Chapter: Mechanics, Marks: 55
Username: Omkar, Subject: Math, Chapter: Geometry, Marks: 20
Username: Pavan, Subject: Physics, Chapter: Thermodynamics, Marks: 59
Username: Ritika, Subject: Chemistry, Chapter: Physical, Marks: 52
Username: Sahil, Subject: Chemistry, Chapter: Inorganic, Marks: 82
Username: Tina, Subject: Math, Chapter: Algebra, Marks: 69
Username: Uday, Subject: Math, Chapter: Algebra, Marks: 69
Username: user200, Subject: Math, Chapter: Trigonometry, Marks: 94
Username: adeshb, Subject: Science, Chapter: Chapter 2: Microorganisms: Friend and Foe, Marks: 60
Username: Arnav, Subject: Science, Chapter: Chapter 2: Acids, Bases, and Salts, Marks: 50
Username: Adeshb, Subject: Mathematics, Chapter: Chapter 1: Number Systems, Marks: 40
Username: Adeshb, Subject: Science, Chapter: Chapter 1: Crop Production and Management, Marks: 100
Username: Adeshb, Subject: Mathematics, Chapter: Chapter 3: Understanding Quadrilaterals, Marks: 60
Username: Adeshb, Subject: Science, Chapter: Chapter 3: Synthetic Fibres and Plastics, Marks: 100
Username: Disha, Subject: Science, Chapter: Chapter 2: Acids, Bases, and Salts, Marks: 100
Username: Disha, Subject: Mathematics, Chapter: Chapter 1: Real Numbers, Marks: 90
Username: Adeshb, Subject: Science, Chapter: Chapter 1: Matter in Our Surroundings, Marks: 100
Username: Adeshb, Subject: Science, Chapter: Chapter 3: Synthetic Fibres and Plastics, Marks: 80
Username: Adeshb, Subject: Science, Chapter: Chapter 4: Structure of the Atom, Marks: 80
Username: Nisha, Subject: Mathematics, Chapter: Chapter 12: Statistics, Marks: 49
Username: Adeshb, Subject: Mathematics, Chapter: Chapter 1: Number Systems, Marks: 56
